City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Maceio,BR,78.24,clear sky,-9.6658,-35.7353,Hotel Ponta Verde Maceió
4,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,Scoop Guest House
6,Puerto Ayora,EC,76.95,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
9,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
10,Selma,US,80.1,overcast clouds,36.5708,-119.6121,"Holiday Inn Selma-Swancourt, an IHG Hotel"
12,Atuona,PF,79.88,scattered clouds,-9.8,-139.0333,Villa Enata
19,Guadalupe Y Calvo,MX,77.95,broken clouds,26.1,-106.9667,Hotel Pizarro
24,Barra Patuca,HN,81.23,clear sky,15.8,-84.2833,
27,Kavieng,PG,85.24,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
29,Cururupu,BR,75.25,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
30,Bubaque,GW,75.25,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
31,Prachuap Khiri Khan,TH,78.69,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
33,Asyut,EG,76.01,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
34,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
35,Yenagoa,NG,76.26,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
39,Cabo San Lucas,MX,88.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
46,Butaritari,KI,81.79,few clouds,3.0707,172.7902,Isles Sunset Lodge
48,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
50,Rikitea,PF,78.57,clear sky,-23.1203,-134.9692,People ThankYou
54,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
58,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,Paradise Inn
62,Shirhatti,IN,76.23,broken clouds,15.2333,75.5833,Sri Renuka Coldrinks
67,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
72,Oranjestad,AW,79.14,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
74,Eyl,SO,80.74,few clouds,7.9803,49.8164,Amiin Hotel
85,Harper,LR,77.34,overcast clouds,4.375,-7.7169,Screensaver
86,Saravena,CO,77.65,moderate rain,6.9538,-71.8752,Hotel Diamante Saravena
88,Isangel,VU,82.27,overcast clouds,-19.55,169.2667,Tanna Lodge
93,Redlands,US,87.55,scattered clouds,34.0556,-117.1825,Dynasty Suites Redlands
107,Souillac,MU,77.4,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
115,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
117,Sao Raimundo Nonato,BR,75.6,overcast clouds,-9.0153,-42.6994,Real Hotel
118,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
124,Manta,EC,80.38,broken clouds,-0.95,-80.7333,Balandra Hotel
128,Biak,ID,78.62,broken clouds,-0.9131,122.8766,Penginapan Kim
131,Champerico,GT,88.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
139,Alpine,US,84.96,clear sky,32.835,-116.7664,Ayres Lodge Alpine
152,Micco,US,85.1,overcast clouds,27.8806,-80.5003,Seashell Suites Resort
153,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,Pirineos
155,Banda,IN,88.57,clear sky,25.4833,80.3333,Hotel Comfort-Inn
157,Mabaruma,GY,75.69,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
158,Faanui,PF,81.57,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
160,Sur,OM,82.15,clear sky,22.5667,59.5289,Sur Plaza Hotel
162,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
168,Amarkantak,IN,75.76,few clouds,22.6667,81.75,STARiHOTELS Amarkantak Madhya Pradesh
170,Daru,PG,77.22,overcast clouds,-9.0763,143.2092,Daru Lodge
175,Jensen Beach,US,80.65,broken clouds,27.2545,-80.2298,Courtyard by Marriott Hutchinson Island Oceanside/Jensen Beach
180,Panalingaan,PH,78.55,overcast clouds,8.7842,117.4231,I Love Panalingaan View Deck
191,Arima,TT,79.45,few clouds,10.6333,-61.2833,Refine Home Style Ltd.
193,Brokopondo,SR,76.73,broken clouds,4.75,-55.1667,Matu Island
195,Basudebpur,IN,76.3,clear sky,21.1353,86.7386,"Teli Sahi Chhak,Basathi"
197,Kieta,PG,83.43,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
199,Taphan Hin,TH,78.89,overcast clouds,16.2209,100.4198,Rommakham Homestay
201,Mahebourg,MU,78.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
202,Banda Aceh,ID,80.04,broken clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
212,Saint George,US,88.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
213,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
218,Bara,NG,84.54,light rain,10.3744,10.7288,
220,Akyab,MM,80.06,few clouds,20.15,92.9,Hotel Memory
224,Teahupoo,PF,80.56,few clouds,-17.8333,-149.2667,Vanira Lodge
225,Adrar,MR,78.55,clear sky,20.5022,-10.0711,
226,Teocaltiche,MX,87.31,clear sky,21.4333,-102.5833,Hotel los Caxcanes
227,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
230,Alofi,NU,84.09,drizzle,-19.0595,-169.9187,Taloa Heights
237,Dingle,PH,78.35,few clouds,10.9995,122.6711,SEGAYA PROPERTY
238,Mecca,SA,85.24,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
241,Tautira,PF,80.31,light rain,-17.7333,-149.15,Pension Oaoa
244,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
