City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Albany,US,42.6001,-73.9662,51.57,37,100,4.0,overcast clouds
1,Maceio,BR,-9.6658,-35.7353,78.24,78,0,4.61,clear sky
2,Mehamn,NO,71.0357,27.8492,39.2,93,100,23.22,overcast clouds
3,Dikson,RU,73.5069,80.5464,2.44,95,100,14.45,overcast clouds
4,Hithadhoo,MV,-0.6,73.0833,82.89,73,99,4.5,overcast clouds
5,Camacha,PT,33.0833,-16.3333,58.42,67,40,14.97,scattered clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,76.95,83,100,6.58,overcast clouds
7,Rundu,NA,-17.9333,19.7667,70.43,58,88,5.84,overcast clouds
8,Hobart,AU,-42.8794,147.3294,58.26,77,75,5.75,broken clouds
9,Vaini,TO,-21.2,-175.2,80.76,89,75,10.36,broken clouds
10,Selma,US,36.5708,-119.6121,80.1,33,99,6.6,overcast clouds
11,Atikokan,CA,48.7555,-91.6216,32.61,91,100,9.1,overcast clouds
12,Atuona,PF,-9.8,-139.0333,79.88,71,42,17.36,scattered clouds
13,Hanzhong,CN,33.0728,107.0303,52.88,59,100,1.01,overcast clouds
14,Sisimiut,GL,66.9395,-53.6735,12.24,73,100,8.5,overcast clouds
15,Qaanaaq,GL,77.484,-69.3632,-11.4,84,35,1.1,scattered clouds
16,Mar Del Plata,AR,-38.0023,-57.5575,66.09,92,0,20.0,clear sky
17,Port Hardy,CA,50.6996,-127.4199,40.26,93,100,1.92,light rain
18,Tarrafal,CV,15.2833,-23.7667,72.39,81,21,13.71,few clouds
19,Guadalupe Y Calvo,MX,26.1,-106.9667,77.95,11,57,11.97,broken clouds
20,Airai,TL,-8.9266,125.4092,63.88,78,93,1.81,overcast clouds
21,Lebu,CL,-37.6167,-73.65,54.34,92,100,3.13,overcast clouds
22,Fortuna,US,40.5982,-124.1573,50.94,90,100,5.01,moderate rain
23,Bethel,US,41.3712,-73.414,46.02,67,100,1.01,overcast clouds
24,Barra Patuca,HN,15.8,-84.2833,81.23,71,0,10.31,clear sky
25,Ushuaia,AR,-54.8,-68.3,47.86,61,75,13.8,broken clouds
26,Namibe,AO,-15.1961,12.1522,74.62,76,89,3.13,light rain
27,Kavieng,PG,-2.5744,150.7967,85.24,67,94,15.1,overcast clouds
28,Dongning,CN,44.0622,131.1207,48.72,35,8,4.23,clear sky
29,Cururupu,BR,-1.8283,-44.8683,75.25,93,66,2.68,broken clouds
30,Bubaque,GW,11.2833,-15.8333,75.25,75,19,9.48,few clouds
31,Prachuap Khiri Khan,TH,12.2167,99.75,78.69,93,100,2.39,overcast clouds
32,Cape Town,ZA,-33.9258,18.4232,61.92,86,2,14.0,clear sky
33,Asyut,EG,27.181,31.1837,76.01,37,100,15.9,overcast clouds
34,Vila Velha,BR,-20.3297,-40.2925,75.15,79,40,9.22,scattered clouds
35,Yenagoa,NG,4.9247,6.2642,76.26,94,100,3.36,overcast clouds
36,Bud,US,39.447,-86.1758,43.68,72,91,14.43,overcast clouds
37,Mataura,NZ,-46.1927,168.8643,56.48,59,100,3.02,light rain
38,Bluff,NZ,-46.6,168.3333,56.8,78,100,6.08,overcast clouds
39,Cabo San Lucas,MX,22.8909,-109.9124,88.61,38,20,11.5,few clouds
40,Shimanovsk,RU,52.0,127.7,43.83,68,100,10.22,overcast clouds
41,Punta Arenas,CL,-53.15,-70.9167,48.31,76,75,13.8,broken clouds
42,Tasiilaq,GL,65.6145,-37.6368,30.36,98,100,2.37,light snow
43,Port Alfred,ZA,-33.5906,26.891,64.8,82,48,3.09,scattered clouds
44,Ahipara,NZ,-35.1667,173.1667,73.99,73,11,9.53,few clouds
45,Karema,TZ,-6.8205,30.4389,71.69,81,31,5.64,scattered clouds
46,Butaritari,KI,3.0707,172.7902,81.79,75,15,12.21,few clouds
47,Cidreira,BR,-30.1811,-50.2056,69.3,73,52,16.04,broken clouds
48,Bambous Virieux,MU,-20.3428,57.7575,78.22,94,40,8.05,light rain
49,Petrovsk-Zabaykalskiy,RU,51.273,108.843,44.96,64,34,3.11,scattered clouds
50,Rikitea,PF,-23.1203,-134.9692,78.57,70,7,14.45,clear sky
51,Khatanga,RU,71.9667,102.5,-1.95,99,91,6.76,overcast clouds
