City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2022-04-17 01:56:57,-46.2817,169.8464,55.67,57,80,10.29
1,Safaga,EG,2022-04-17 01:56:58,26.7292,33.9365,76.32,39,0,5.99
2,Rikitea,PF,2022-04-17 01:56:58,-23.1203,-134.9692,78.82,68,32,12.93
3,Kavaratti,IN,2022-04-17 01:56:58,10.5669,72.642,83.86,72,31,5.82
4,Punta Arenas,CL,2022-04-17 01:56:59,-53.15,-70.9167,46.51,81,40,13.8
5,Castro,BR,2022-04-17 01:56:59,-24.7911,-50.0119,49.57,96,0,5.3
6,Yellowknife,CA,2022-04-17 01:56:17,62.456,-114.3525,14.52,48,75,9.22
7,Skelleftea,SE,2022-04-17 01:57:00,64.7507,20.9528,36.0,68,12,5.75
8,Klaksvik,FO,2022-04-17 01:57:00,62.2266,-6.589,47.32,97,100,22.53
9,Kvitok,RU,2022-04-17 01:57:00,56.0724,98.4813,49.86,71,100,5.03
10,Port Alfred,ZA,2022-04-17 01:57:01,-33.5906,26.891,58.17,93,100,9.35
11,Havoysund,NO,2022-04-17 01:57:01,70.9963,24.6622,39.43,91,100,28.41
12,Port Macquarie,AU,2022-04-17 01:57:01,-31.4333,152.9167,66.88,75,100,5.64
13,Vila Praia De Ancora,PT,2022-04-17 01:57:02,41.811,-8.8526,55.11,87,89,5.84
14,Chiang Klang,TH,2022-04-17 01:57:02,19.2938,100.8617,93.16,37,3,4.25
15,Vaini,TO,2022-04-17 01:57:02,-21.2,-175.2,80.56,75,42,12.17
16,Talsi,LV,2022-04-17 01:53:29,57.2456,22.5814,29.95,75,56,3.13
17,Saint Anthony,US,2022-04-17 01:57:03,45.0205,-93.218,37.0,44,0,4.61
18,Ponta Do Sol,PT,2022-04-17 01:57:03,32.6667,-17.1,70.43,44,100,7.45
19,Roseburg,US,2022-04-17 01:52:52,43.2165,-123.3417,51.91,47,75,9.22
20,Hilo,US,2022-04-17 01:57:04,19.7297,-155.09,73.27,92,100,4.61
21,Janakpur,NP,2022-04-17 01:57:04,26.7183,85.9065,85.75,41,34,12.57
22,Mishan,CN,2022-04-17 01:57:04,45.55,131.8833,50.31,22,68,13.29
23,Lebu,CL,2022-04-17 01:57:05,-37.6167,-73.65,52.97,93,45,10.98
24,Mackay,AU,2022-04-17 01:57:05,-21.15,149.2,83.68,69,5,17.27
25,Hithadhoo,MV,2022-04-17 01:57:06,-0.6,73.0833,83.41,63,97,6.62
26,Sorland,NO,2022-04-17 01:57:06,67.667,12.6934,42.22,96,100,22.21
27,Kapaa,US,2022-04-17 01:57:06,22.0752,-159.319,73.38,97,97,1.99
28,Arraial Do Cabo,BR,2022-04-17 01:57:07,-22.9661,-42.0278,72.61,70,0,14.92
29,Cartagena,CO,2022-04-17 01:53:24,10.3997,-75.5144,82.02,78,75,8.05
30,Gushikawa,JP,2022-04-17 01:56:49,26.3544,127.8686,69.03,64,85,12.48
31,Griffith,US,2022-04-17 01:57:07,41.5284,-87.4237,41.13,75,75,8.05
32,Zhicheng,CN,2022-04-17 01:57:08,30.2956,111.5047,52.81,80,100,2.35
33,Codrington,AU,2022-04-17 01:53:47,-38.2667,141.9667,79.3,30,100,24.43
34,Tambura,SS,2022-04-17 01:57:08,5.6,27.4667,69.01,94,89,3.29
35,Fairbanks,US,2022-04-17 01:52:33,64.8378,-147.7164,35.56,32,0,16.11
36,Husavik,IS,2022-04-17 01:57:09,66.0449,-17.3389,40.93,88,82,8.37
37,Qaanaaq,GL,2022-04-17 01:57:09,77.484,-69.3632,-19.86,73,8,7.36
38,Victoria,HK,2022-04-17 01:53:12,22.2855,114.1577,71.26,77,99,11.01
